,tanggal,user_name,ISI,STOP_REMOVAL
62,2022-06-09 04:25:55+00:00,cebongsonto, cobeh2021 hebat ketua KPK mampu menghilangkan status pegawai KPK lewat TWK apalagi masiku , cobeh2021 hebat ketua kpk menghilangkan status pegawai kpk twk masiku 
63,2022-06-09 04:25:05+00:00,shahnaw92971639, MaryamNSharif Kpk 15hrs, maryamnsharif kpk 15hrs
64,2022-06-09 04:24:45+00:00,m4t4merah, UmarHasibuan070 KPK Dia Polisi kan Masa sih aneh , umarhasibuan070 kpk polisi sih aneh 
65,2022-06-09 04:22:51+00:00,25yudika, UmarHasibuan070 Sandy230869012 KPK Jawaban tolol layak ketua KPK , umarhasibuan070 sandy230869012 kpk tolol layak ketua kpk 
66,2022-06-09 04:22:31+00:00,cebongsonto, UmarHasibuan070 KPK Ketua KPK Paling bermasalah didunia firli , umarhasibuan070 kpk ketua kpk bermasalah didunia firli 
67,2022-06-09 04:22:02+00:00,merdekadotcom,Sidang Suap Suap Bupati PPU Abdul Gafur KPK Bakal Hadirkan Andi Arief https fPfstnEu2m,sidang suap suap bupati ppu abdul gafur kpk hadirkan andi arief https fpfstneu2m
68,2022-06-09 04:22:00+00:00,goharali23415, PML KPK SHABAZGIL 360000 arab tery bab nowaz sharif aur tumra dada zardari leya tumhara bab ada kariga https DIpsPGjuM5, pml kpk shabazgil 360000 arab tery bab nowaz sharif aur tumra dada zardari leya tumhara bab kariga https dipspgjum5
69,2022-06-09 04:21:57+00:00,titik39078729, UmarHasibuan070 KPK Firli anda titipan , umarhasibuan070 kpk firli titipan 
70,2022-06-09 04:21:47+00:00,hmynkhan, mudazir Tabhi Youthia month Rana SanaUllah dar apny Ghar rha KPK chupa hwa , mudazir tabhi youthia month rana sanaullah dar apny ghar rha kpk chupa hwa 
71,2022-06-09 04:20:56+00:00,aniesmania,Ayo KPK jaga marwah integritas dengan berdiri bersama kejujuran dan kebenaran Anies AniesBaswedan https vQphKstAod,ayo kpk jaga marwah integritas berdiri kejujuran kebenaran anies aniesbaswedan https vqphkstaod
72,2022-06-09 04:19:57+00:00,cak_sobirin, UmarHasibuan070 KPK Gak bisa nangkap Mundur aja fir, umarhasibuan070 kpk gak nangkap mundur aja fir
73,2022-06-09 04:17:20+00:00,fidasyarifah95, manusiagabersa1 Bukti KPK semakin kuat yaitu terbukti dengan penangkapan Walikota Bekasi terkait kasus jual beli https b99US57Eyf, manusiagabersa1 bukti kpk kuat terbukti penangkapan walikota bekasi terkait jual beli https b99us57eyf
74,2022-06-09 04:16:56+00:00,sirmenkhan, SHABAZGIL SHABAZGIL kpk bej2 karaya main donga aur sehat card ilaj hojaige, shabazgil shabazgil kpk bej2 karaya main donga aur sehat card ilaj hojaige
75,2022-06-09 04:16:11+00:00,gucel_id, yusuf dumdum KPK rame amat nih filem bokep baru judulnya apa https thMxYuRPRc, yusuf dumdum kpk rame nih filem bokep judulnya https thmxyurprc
76,2022-06-09 04:13:32+00:00,ecosocrights,Membubarkan KPK krn para pimimpinannya bermasalah itu spt kata pepatah buruk muka cermin dibelah Yang pantas dibu https 8TpWdcQ6EF,membubarkan kpk krn pimimpinannya bermasalah spt pepatah buruk muka cermin dibelah dibu https 8tpwdcq6ef
77,2022-06-09 04:13:09+00:00,warkopmoveon, UmarHasibuan070 KPK Hahhaha Dia kali kena titip, umarhasibuan070 kpk hahhaha kali kena titip
78,2022-06-09 04:10:47+00:00,merrie_red, jalurbekasi hrdbacot perkeretaapian KPK coba turun tngn mslh ini Sapa tau ada korupsi makanya kelar2 https AVoccMuWa6, jalurbekasi hrdbacot perkeretaapian kpk coba turun tngn mslh sapa tau korupsi kelar2 https avoccmuwa6
79,2022-06-09 04:10:27+00:00,rizkisiagian4, OposisiCerdas Itu lah bobot ketua KPK , oposisicerdas bobot ketua kpk 
80,2022-06-09 04:09:57+00:00,adimuammar, UmarHasibuan070 Gus Umar Ketua Sibuk Pasang Baliho Wakilnya Terima Gratifikasi KPK Layak Dibubarkan https WlyO5ShmAl, umarhasibuan070 gus umar ketua sibuk pasang baliho wakilnya terima gratifikasi kpk layak dibubarkan https wlyo5shmal
81,2022-06-09 04:09:43+00:00,fajaronline,Gus Umar Ketua Sibuk Pasang Baliho Wakilnya Terima Gratifikasi KPK Layak Dibubarkan https ahHxQlijhZ https 6w1jbGp637,gus umar ketua sibuk pasang baliho wakilnya terima gratifikasi kpk layak dibubarkan https ahhxqlijhz https 6w1jbgp637
82,2022-06-09 04:09:30+00:00,ank_dadang, RasamalaArt KPK Bubarkan Presiden Mengumumkan Diri Sbg Panglima Tertinggi Pemberantasan Korupsi tanpa Pandang Siap https Z8r7nCvJyF, rasamalaart kpk bubarkan presiden mengumumkan sbg panglima tertinggi pemberantasan korupsi pandang https z8r7ncvjyf
83,2022-06-09 04:08:53+00:00,ecosocrights,Justru itu diinginkan rezim oligarki Jokowi KPK dibubarkan Makanya rezim merusaknya terlebih dahulu dgn revis https k5LecKncmN,rezim oligarki jokowi kpk dibubarkan rezim merusaknya dgn revis https k5leckncmn
84,2022-06-09 04:06:50+00:00,alamsya50823884,KPK sekarang dan seterusnya lembaga negara lahir secara prematur tentu dalam mengambil sikap terseok BPK buka https ZFC9STZnuF,kpk lembaga negara lahir prematur mengambil sikap terseok bpk buka https zfc9stznuf
85,2022-06-09 04:06:44+00:00,dar_yoga, jokowi Survei KPK Paling Tak Dipercaya TNI dan Presiden Paling Dipercaya https dOuSn0jKTl, jokowi survei kpk dipercaya tni presiden dipercaya https dousn0jktl
86,2022-06-09 04:06:19+00:00,zia_karib74, UmarHasibuan070 KPK Mmng Aneh, umarhasibuan070 kpk mmng aneh
87,2022-06-09 04:05:58+00:00,pettakumpe, UmarHasibuan070 imranbachmid KPK Bubar aja kpk, umarhasibuan070 imranbachmid kpk bubar aja kpk
88,2022-06-09 04:04:58+00:00,dedonc, triajaaa KPK masih ditimbang belum nyampe 1kilo, triajaaa kpk ditimbang nyampe 1kilo
89,2022-06-09 04:03:32+00:00,voidotid,Kehadiran Andi ini penting untuk membuktikan dakwaan terhadap Abdul Gafur Termasuk adanya dugaan pembiayaan Musyaw https 0YEVqzqCT7,kehadiran andi membuktikan dakwaan abdul gafur dugaan pembiayaan musyaw https 0yevqzqct7
91,2022-06-09 04:03:28+00:00,slikhatoun,KPK itu kerja untuk melindunggi rakyat bukan kerja melindunggi Para elit koruptor Thn 2014 marasa gue https InLRxHCDTo,kpk kerja melindunggi rakyat kerja melindunggi elit koruptor thn 2014 marasa gue https inlrxhcdto
92,2022-06-09 04:01:47+00:00,kpk_ri,Kegiatan ini diharapkan dapat memperkuat sinergi antara APH serta mampu menjadi trigger dalam penanganan perkara https s0OMfSBapE,kegiatan diharapkan memperkuat sinergi aph trigger penanganan perkara https s0omfsbape
93,2022-06-09 04:00:43+00:00,kpk_ri,APH jugmemiliki kewajiban untuk membangun kesadaran masyarakat bahwa peran serta dari masyarakat angka korupsi dap https 3WBH2OCJiY,aph jugmemiliki kewajiban membangun kesadaran masyarakat peran masyarakat angka korupsi dap https 3wbh2ocjiy
94,2022-06-09 03:59:29+00:00,bayuagni_, paijodirajo KPK Tenang Kepercayaan itu nanti bakal ditumbuhkan lagi oleh rompi biru anti korupsi, paijodirajo kpk tenang kepercayaan ditumbuhkan rompi biru anti korupsi
95,2022-06-09 03:59:02+00:00,fajaronline,Bela Mardani Maming Pendiri HIPMI Karirnya Lagi Menanjak Wajar Kalau Ada Upaya Jahat https qdg0TtwDc7 https QmkMKjwuqh,bela mardani maming pendiri hipmi karirnya menanjak wajar upaya jahat https qdg0ttwdc7 https qmkmkjwuqh
96,2022-06-09 03:58:54+00:00,yonghendra2, triajaaa KPK DKi Itu Daerah Khusus Kira2 begitu KPK , triajaaa kpk dki daerah khusus kira2 kpk 
97,2022-06-09 03:58:50+00:00,drafsarkhan9, MaryamNSharif ALHAMDULILLAH Dist Buner kpk loadshedding ginty ziada ginty deye gay hai https l5KX0qVMwe, maryamnsharif alhamdulillah dist buner kpk loadshedding ginty ziada ginty deye gay hai https l5kx0qvmwe
98,2022-06-09 03:58:32+00:00,andry19633,Respon Rizal Ramli kepada Ketua KPK Firli Bahuri soal Parpol Threshold dan Korupsi https imTvIhIbyJ https HJUgUvItyl,respon rizal ramli ketua kpk firli bahuri parpol threshold korupsi https imtvihibyj https hjuguvityl
99,2022-06-09 03:58:09+00:00,kpk_ri,KPK mengharapkan agar APH terkhususnya wilayah Provinsi Sulsel mampu mendorong untuk dilakukannya percepatan pen https UERNnDy1Hn,kpk mengharapkan aph terkhususnya wilayah provinsi sulsel mendorong dilakukannya percepatan pen https uernndy1hn
